Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
480.43 ,En stock,Ibanez,SR305,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305/petites-annonces/
1 409 ,Pas de stock,Ibanez,GVB36,Gerald Veasley,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gvb36/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gvb36/petites-annonces/
4 399 ,Pas de stock,Yamaha,BBNE2,BB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/signature-series-nathan-east-bbne2-white/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/signature-series-nathan-east-bbne2-white/petites-annonces/
259 ,En stock,Cort,Action V,Action,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/action-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/action-v/petites-annonces/
299 ,En stock,Ibanez,GSR205,GIO Soundgear,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205/petites-annonces/
590 ,Pas de stock,Cort,B5,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5/petites-annonces/
2 666 ,En stock,Spector,Euro 5 LX,Basses électriques 5 cordes,23/04/2004,https://fr.audiofanzine.com/basse-electrique-divers/spector/Euro-5-LX/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/Euro-5-LX/petites-annonces/
1 279 ,Pas de stock,Ibanez,SR1305,SR Premium,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/soundgear-premium-sr1305/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/soundgear-premium-sr1305/petites-annonces/
879 ,En stock,Warwick,Corvette Standard 5,Basses électriques 5 cordes,04/07/2005,https://fr.audiofanzine.com/basse-electrique-divers/warwick/Corvette-Standard-5c/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/warwick/Corvette-Standard-5c/petites-annonces/
645 ,En stock,Cort,C5,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/c5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/c5/petites-annonces/
